team,league
TBL,NHL
BOS,NHL
TOR,NHL
MTL,NHL
FLA,NHL
BUF,NHL
DET,NHL
OTT,NHL
WSH,NHL
NYI,NHL
PIT,NHL
CAR,NHL
CBJ,NHL
PHI,NHL
NYR,NHL
NJD,NHL
NSH,NHL
WPG,NHL
STL,NHL
DAL,NHL
COL,NHL
CHI,NHL
MIN,NHL
CGY,NHL
SJS,NHL
VEG,NHL
ARI,NHL
VAN,NHL
ANA,NHL
EDM,NHL
LAK,NHL
MIL,NBA
TOR,NBA
PHI,NBA
BOS,NBA
IND,NBA
BRK,NBA
ORL,NBA
DET,NBA
CHO,NBA
MIA,NBA
WAS,NBA
ATL,NBA
CHI,NBA
CLE,NBA
NYK,NBA
GSW,NBA
DEN,NBA
POR,NBA
HOU,NBA
UTA,NBA
OKC,NBA
SAS,NBA
LAC,NBA
SAC,NBA
LAL,NBA
MIN,NBA
MEM,NBA
NOP,NBA
DAL,NBA
PHO,NBA
