age,team_id,lg_id,games_played,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shots_attempted,time_on_ice,time_on_ice_avg,faceoff_wins,faceoff_losses,faceoff_percentage,blocks,hits,takeaways,giveaways,award_summary,season,is_postseason,player_code
18,BOS,NHL,71,16,23,39,5,22,9,7,0,2,15,8,0,133,12.0,,1161,16:21,,,,,,,,Calder-8,2003-04,False,b/bergepa01
20,BOS,NHL,81,31,42,73,3,22,18,12,1,6,24,17,1,310,10.0,,1668,20:36,,,,,,,,Byng-11,2005-06,False,b/bergepa01
21,BOS,NHL,77,22,48,70,-28,26,8,14,0,6,22,24,2,224,9.8,,1603,20:49,,,,,,,,Byng-30,2006-07,False,b/bergepa01
22,BOS,NHL,10,3,4,7,2,2,1,2,0,0,3,1,0,24,12.5,45,182,18:10,88,87,50.3,5,6,10,3,,2007-08,False,b/bergepa01
23,BOS,NHL,64,8,31,39,2,16,6,1,1,1,16,13,2,155,5.2,244,1151,17:59,549,456,54.6,42,57,35,15,Byng-35,2008-09,False,b/bergepa01
24,BOS,NHL,73,19,33,52,6,28,18,0,1,4,24,8,1,184,10.3,324,1380,18:54,768,557,58.0,45,49,54,19,"Byng-20,Selke-5",2009-10,False,b/bergepa01
25,BOS,NHL,80,22,35,57,20,26,17,3,2,4,26,8,1,211,10.4,365,1431,17:53,815,624,56.6,56,45,49,24,"Byng-16,Selke-4",2010-11,False,b/bergepa01
26,BOS,NHL,81,22,42,64,36,20,15,5,2,3,32,9,1,191,11.5,355,1505,18:35,973,668,59.3,67,73,55,25,"AS-7,Byng-13,Hart-18,Selke-1",2011-12,False,b/bergepa01
27,BOS,NHL,42,10,22,32,24,18,8,2,0,3,19,2,1,125,8.0,211,810,19:18,549,335,62.1,25,28,23,28,"AS-11,Byng-12,Clancy-1,Hart-17,Selke-2",2012-13,False,b/bergepa01
28,BOS,NHL,80,30,32,62,38,43,22,7,1,7,25,4,3,243,12.3,430,1439,17:59,1015,717,58.6,57,52,49,28,"AS-4,Byng-13,Hart-5,Selke-1",2013-14,False,b/bergepa01
