league_name,season,game_date,is_team_home,is_overtime,team_name,opponent_name,team_points,opponent_points
NBA,2018-19,2018-10-18,False,False,Los Angeles Lakers,Portland Trail Blazers,119,128
NBA,2018-19,2018-10-20,True,False,Los Angeles Lakers,Houston Rockets,115,124
NBA,2018-19,2018-10-22,True,True,Los Angeles Lakers,San Antonio Spurs,142,143
NBA,2018-19,2018-10-24,False,False,Los Angeles Lakers,Phoenix Suns,131,113
NBA,2018-19,2018-10-25,True,False,Los Angeles Lakers,Denver Nuggets,121,114
NBA,2018-19,2018-10-27,False,False,Los Angeles Lakers,San Antonio Spurs,106,110
NBA,2018-19,2018-10-29,False,False,Los Angeles Lakers,Minnesota Timberwolves,120,124
NBA,2018-19,2018-10-31,True,False,Los Angeles Lakers,Dallas Mavericks,114,113
NBA,2018-19,2018-11-03,False,False,Los Angeles Lakers,Portland Trail Blazers,114,110
NBA,2018-19,2018-11-04,True,False,Los Angeles Lakers,Toronto Raptors,107,121
NBA,2018-19,2018-11-07,True,False,Los Angeles Lakers,Minnesota Timberwolves,114,110
NBA,2018-19,2018-11-10,False,False,Los Angeles Lakers,Sacramento Kings,101,86
NBA,2018-19,2018-11-11,True,False,Los Angeles Lakers,Atlanta Hawks,107,106
NBA,2018-19,2018-11-14,True,False,Los Angeles Lakers,Portland Trail Blazers,126,117
NBA,2018-19,2018-11-17,False,False,Los Angeles Lakers,Orlando Magic,117,130
NBA,2018-19,2018-11-18,False,False,Los Angeles Lakers,Miami Heat,113,97
NBA,2018-19,2018-11-21,False,False,Los Angeles Lakers,Cleveland Cavaliers,109,105
NBA,2018-19,2018-11-23,True,False,Los Angeles Lakers,Utah Jazz,90,83
NBA,2018-19,2018-11-25,True,False,Los Angeles Lakers,Orlando Magic,104,108
NBA,2018-19,2018-11-27,False,False,Los Angeles Lakers,Denver Nuggets,85,117
NBA,2018-19,2018-11-29,True,False,Los Angeles Lakers,Indiana Pacers,104,96
NBA,2018-19,2018-11-30,True,False,Los Angeles Lakers,Dallas Mavericks,114,103
NBA,2018-19,2018-12-02,True,False,Los Angeles Lakers,Phoenix Suns,120,96
NBA,2018-19,2018-12-05,True,False,Los Angeles Lakers,San Antonio Spurs,121,113
NBA,2018-19,2018-12-07,False,False,Los Angeles Lakers,San Antonio Spurs,120,133
NBA,2018-19,2018-12-08,False,False,Los Angeles Lakers,Memphis Grizzlies,111,88
NBA,2018-19,2018-12-10,True,False,Los Angeles Lakers,Miami Heat,108,105
NBA,2018-19,2018-12-13,False,False,Los Angeles Lakers,Houston Rockets,111,126
NBA,2018-19,2018-12-15,False,False,Los Angeles Lakers,Charlotte Hornets,128,100
NBA,2018-19,2018-12-16,False,False,Los Angeles Lakers,Washington Wizards,110,128
NBA,2018-19,2018-12-18,False,False,Los Angeles Lakers,Brooklyn Nets,110,115
NBA,2018-19,2018-12-21,True,False,Los Angeles Lakers,New Orleans Pelicans,112,104
NBA,2018-19,2018-12-23,True,False,Los Angeles Lakers,Memphis Grizzlies,99,107
NBA,2018-19,2018-12-25,False,False,Los Angeles Lakers,Golden State Warriors,127,101
NBA,2018-19,2018-12-27,False,False,Los Angeles Lakers,Sacramento Kings,116,117
NBA,2018-19,2018-12-28,True,False,Los Angeles Lakers,Los Angeles Clippers,107,118
NBA,2018-19,2018-12-30,True,False,Los Angeles Lakers,Sacramento Kings,121,114
NBA,2018-19,2019-01-02,True,False,Los Angeles Lakers,Oklahoma City Thunder,100,107
NBA,2018-19,2019-01-04,True,False,Los Angeles Lakers,New York Knicks,112,119
NBA,2018-19,2019-01-06,False,False,Los Angeles Lakers,Minnesota Timberwolves,86,108
NBA,2018-19,2019-01-07,False,False,Los Angeles Lakers,Dallas Mavericks,107,97
NBA,2018-19,2019-01-09,True,False,Los Angeles Lakers,Detroit Pistons,113,100
NBA,2018-19,2019-01-11,False,False,Los Angeles Lakers,Utah Jazz,95,113
NBA,2018-19,2019-01-13,True,False,Los Angeles Lakers,Cleveland Cavaliers,95,101
NBA,2018-19,2019-01-15,True,False,Los Angeles Lakers,Chicago Bulls,107,100
